title,slug,route,category,version,status,modules,lessons,questions,checklists,cases,zip,index,sourceZip
Astronomia General para Curiosos,astronomia_general_curiosos_v0_6_publica,Contenido Plus,Contenido Plus,v1 curso completo,Curso completo v1,9,9,27,4,3,zips/astronomia_general_curiosos_v0_6_publica.zip,cursos/astronomia_general_curiosos_v0_6_publica/index.html,curso-nuevo
Computacion Cuantica para Curiosos,computacion_cuantica_curiosos_v0_6_publica,Contenido Plus,Contenido Plus,v1 curso completo,Curso completo v1,12,12,36,4,3,zips/computacion_cuantica_curiosos_v0_6_publica.zip,cursos/computacion_cuantica_curiosos_v0_6_publica/index.html,curso-nuevo
Escudo Comercial Digital Argentina,escudo_comercial_web_v0_6_publica,Plantilla y portal,Plantilla,v1 curso completo,Curso completo v1,10,34,30,6,3,zips/escudo_comercial_web_v0_6_publica.zip,cursos/escudo_comercial_web_v0_6_publica/index.html,escudo_comercial_web_v0_6.zip
Alfabetización Digital para Adultos,alfabetizacion_digital_adultos_web_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Ciudadania digital,v1 curso completo,Curso completo v1,11,44,33,6,3,zips/alfabetizacion_digital_adultos_web_v0_6_publica.zip,cursos/alfabetizacion_digital_adultos_web_v0_6_publica/index.html,alfabetizacion_digital_adultos_web_v0_5.zip
Android Seguro para Principiantes,android_seguro_principiantes_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Ciudadania digital,v1 curso completo,Curso completo v1,12,46,36,6,3,zips/android_seguro_principiantes_v0_6_publica.zip,cursos/android_seguro_principiantes_v0_6_publica/index.html,curso-nuevo
Ciudadano Digital Argentina,ciudadano_digital_argentina_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Ciudadania digital,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/ciudadano_digital_argentina_v0_6_publica.zip,cursos/ciudadano_digital_argentina_v0_6_publica/index.html,curso-nuevo
Cuidado Digital para Adultos Mayores y Familias,cuidado_digital_mayores_familias_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Ciudadania digital,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/cuidado_digital_mayores_familias_v0_6_publica.zip,cursos/cuidado_digital_mayores_familias_v0_6_publica/index.html,curso-nuevo
Finanzas Digitales Seguras Argentina,finanzas_digitales_seguras_web_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Finanzas digitales,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/finanzas_digitales_seguras_web_v0_6_publica.zip,cursos/finanzas_digitales_seguras_web_v0_6_publica/index.html,finanzas_digitales_seguras_web_v0_5.zip
Primeros Auxilios Digitales,primeros_auxilios_digitales_web_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Emergencia digital,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,60,6,8,zips/primeros_auxilios_digitales_web_v0_6_publica.zip,cursos/primeros_auxilios_digitales_web_v0_6_publica/index.html,primeros_auxilios_digitales_web_v0_6_publica.zip
Privacidad Digital Ciudadana,privacidad_digital_ciudadana_web_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Privacidad,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/privacidad_digital_ciudadana_web_v0_6_publica.zip,cursos/privacidad_digital_ciudadana_web_v0_6_publica/index.html,privacidad_digital_ciudadana_web_v0_5.zip
Seguridad Digital Escolar,seguridad_digital_escolar_web_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Escuela,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,60,6,8,zips/seguridad_digital_escolar_web_v0_6_publica.zip,cursos/seguridad_digital_escolar_web_v0_6_publica/index.html,seguridad_digital_escolar_web_v0_5.zip
Seguridad Digital para Docentes,seguridad_digital_docentes_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Escuela,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/seguridad_digital_docentes_v0_6_publica.zip,cursos/seguridad_digital_docentes_v0_6_publica/index.html,curso-nuevo
Seguridad Familiar en Internet,seguridad_familiar_internet_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Familia,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/seguridad_familiar_internet_v0_6_publica.zip,cursos/seguridad_familiar_internet_v0_6_publica/index.html,curso-nuevo
Tramites Digitales Argentina,tramites_digitales_argentina_v0_6_publica,Ruta 1 - Ciudadania Digital y Seguridad,Tramites digitales,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/tramites_digitales_argentina_v0_6_publica.zip,cursos/tramites_digitales_argentina_v0_6_publica/index.html,curso-nuevo
Atencion al Cliente por WhatsApp y Redes,atencion_cliente_whatsapp_redes_v0_6_publica,"Ruta 2 - Trabajo, Productividad e IA",Atencion al cliente,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/atencion_cliente_whatsapp_redes_v0_6_publica.zip,cursos/atencion_cliente_whatsapp_redes_v0_6_publica/index.html,curso-nuevo
Automatizacion con IA para Tareas Repetitivas,automatizacion_ia_tareas_v0_6_publica,"Ruta 2 - Trabajo, Productividad e IA",Trabajo e IA,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/automatizacion_ia_tareas_v0_6_publica.zip,cursos/automatizacion_ia_tareas_v0_6_publica/index.html,curso-nuevo
"CV, LinkedIn y Busqueda Laboral Digital",cv_linkedin_busqueda_laboral_v0_6_publica,"Ruta 2 - Trabajo, Productividad e IA",Trabajo,v0.6 publica profesional,Curso bandera v1.0-beta,6,36,30,6,8,zips/cv_linkedin_busqueda_laboral_v0_6_publica.zip,cursos/cv_linkedin_busqueda_laboral_v0_6_publica/index.html,curso-nuevo
