id,title,version,status,category,audience,path,isPilot,publicReady
power_bi_principiantes_web_v0_6_publica,Power BI para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,BI,"Ruta 3 - Datos, BI y Herramientas",../../cursos/power_bi_principiantes_web_v0_6_publica/index.html,true,true
tableau_visualizacion_datos_web_v0_6_publica,Tableau para Visualización de Datos,v0.6 publica profesional,Curso bandera v1.0-beta,BI,"Ruta 3 - Datos, BI y Herramientas",../../cursos/tableau_visualizacion_datos_web_v0_6_publica/index.html,true,true
alfabetizacion_digital_adultos_web_v0_6_publica,Alfabetización Digital para Adultos,v0.6 publica profesional,Curso bandera v1.0-beta,Ciudadania digital,Ruta 1 - Ciudadania Digital y Seguridad,../../cursos/alfabetizacion_digital_adultos_web_v0_6_publica/index.html,true,true
astronomia_general_curiosos_v0_6_publica,Astronomia General para Curiosos,v0.6 publica profesional,Curso bandera v1.0-beta,Contenido Plus,Contenido Plus,../../cursos/astronomia_general_curiosos_v0_6_publica/index.html,true,true
computacion_cuantica_curiosos_v0_6_publica,Computacion Cuantica para Curiosos,v0.6 publica profesional,Curso bandera v1.0-beta,Contenido Plus,Contenido Plus,../../cursos/computacion_cuantica_curiosos_v0_6_publica/index.html,true,true
analista_datos_ciudadano_web_v0_6_publica,Analista de Datos Ciudadano,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,"Ruta 3 - Datos, BI y Herramientas",../../cursos/analista_datos_ciudadano_web_v0_6_publica/index.html,true,true
sql_practico_analisis_datos_web_v0_6_publica,SQL Práctico para Análisis de Datos,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,"Ruta 3 - Datos, BI y Herramientas",../../cursos/sql_practico_analisis_datos_web_v0_6_publica/index.html,true,true
apis_para_proyectos_web_v0_6_publica,APIs para Proyectos Web,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/apis_para_proyectos_web_v0_6_publica/index.html,true,true
css_practico_principiantes_web_v0_6_publica,CSS Práctico para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/css_practico_principiantes_web_v0_6_publica/index.html,true,true
git_github_proyectos_web_v0_6_publica,Git y GitHub para Proyectos Web,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/git_github_proyectos_web_v0_6_publica/index.html,true,true
html_practico_principiantes_web_v0_6_publica,HTML Práctico para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/html_practico_principiantes_web_v0_6_publica/index.html,true,true
javascript_desde_cero_web_v0_6_publica,JavaScript desde Cero,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/javascript_desde_cero_web_v0_6_publica/index.html,true,true
publicacion_web_principiantes_v0_6_publica,Publicación Web para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/publicacion_web_principiantes_v0_6_publica/index.html,true,true
react_basico_principiantes_v0_6_publica,React Basico para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,Ruta 5 - Desarrollo Web y Programacion,../../cursos/react_basico_principiantes_v0_6_publica/index.html,true,true
primeros_auxilios_digitales_web_v0_6_publica,Primeros Auxilios Digitales,v0.6 publica profesional,Curso bandera v1.0-beta,Emergencia digital,Ruta 1 - Ciudadania Digital y Seguridad,../../cursos/primeros_auxilios_digitales_web_v0_6_publica/index.html,true,true
emprendimiento_barrial_web_v0_6_publica,Emprendimiento Barrial,v0.6 publica profesional,Curso bandera v1.0-beta,Emprendimiento,Ruta 4 - Emprendimiento y Finanzas,../../cursos/emprendimiento_barrial_web_v0_6_publica/index.html,true,true
seguridad_digital_escolar_web_v0_6_publica,Seguridad Digital Escolar,v0.6 publica profesional,Curso bandera v1.0-beta,Escuela,Ruta 1 - Ciudadania Digital y Seguridad,../../cursos/seguridad_digital_escolar_web_v0_6_publica/index.html,true,true
finanzas_digitales_seguras_web_v0_6_publica,Finanzas Digitales Seguras Argentina,v0.6 publica profesional,Curso bandera v1.0-beta,Finanzas digitales,Ruta 1 - Ciudadania Digital y Seguridad,../../cursos/finanzas_digitales_seguras_web_v0_6_publica/index.html,true,true
catalogo_datos_alation_web_v0_6_publica,Catálogo de Datos y Alation,v0.6 publica profesional,Curso bandera v1.0-beta,Gobierno de datos,"Ruta 3 - Datos, BI y Herramientas",../../cursos/catalogo_datos_alation_web_v0_6_publica/index.html,true,true
escudo_comercial_web_v0_6_publica,Escudo Comercial Digital Argentina,v0.6 publica profesional,Curso bandera v1.0-beta,Plantilla,Plantilla y portal,../../cursos/escudo_comercial_web_v0_6_publica/index.html,true,true
privacidad_digital_ciudadana_web_v0_6_publica,Privacidad Digital Ciudadana,v0.6 publica profesional,Curso bandera v1.0-beta,Privacidad,Ruta 1 - Ciudadania Digital y Seguridad,../../cursos/privacidad_digital_ciudadana_web_v0_6_publica/index.html,true,true
google_workspace_trabajo_datos_web_v0_6_publica,Google Workspace para Trabajo y Datos,v0.6 publica profesional,Curso bandera v1.0-beta,Productividad,"Ruta 2 - Trabajo, Productividad e IA",../../cursos/google_workspace_trabajo_datos_web_v0_6_publica/index.html,true,true
soporte_tecnico_web_v0_6_publica,Simulador Laboral de Soporte Técnico,v0.6 publica profesional,Curso bandera v1.0-beta,Soporte tecnico,"Ruta 2 - Trabajo, Productividad e IA",../../cursos/soporte_tecnico_web_v0_6_publica/index.html,true,true
ia_practica_web_v0_6_publica,IA Práctica para Trabajadores y Emprendedores,v0.6 publica profesional,Curso bandera v1.0-beta,Trabajo e IA,"Ruta 2 - Trabajo, Productividad e IA",../../cursos/ia_practica_web_v0_6_publica/index.html,true,true
calidad_datos_principiantes_v0_6_publica,Calidad de Datos para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,"Usuarios de planillas, datos y reportes.",../../cursos/calidad_datos_principiantes_v0_6_publica/index.html,true,true
gobierno_datos_basico_v0_6_publica,Gobierno de Datos Basico,v0.6 publica profesional,Curso bandera v1.0-beta,Gobierno de datos,"Equipos de datos, BI y operaciones.",../../cursos/gobierno_datos_basico_v0_6_publica/index.html,true,true
educacion_financiera_basica_argentina_v0_6_publica,Educacion Financiera Basica Argentina,v0.6 publica profesional,Curso bandera v1.0-beta,Finanzas,Personas y familias que quieren ordenar sus finanzas cotidianas.,../../cursos/educacion_financiera_basica_argentina_v0_6_publica/index.html,true,true
estadistica_basica_decisiones_v0_6_publica,Estadistica Basica para Decisiones,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,Usuarios de datos y personas que toman decisiones.,../../cursos/estadistica_basica_decisiones_v0_6_publica/index.html,true,true
python_datos_desde_cero_v0_6_publica,Python para Datos desde Cero,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,Principiantes con interes en datos.,../../cursos/python_datos_desde_cero_v0_6_publica/index.html,true,true
storytelling_datos_v0_6_publica,Storytelling con Datos,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,"Analistas iniciales, docentes y equipos de negocio.",../../cursos/storytelling_datos_v0_6_publica/index.html,true,true
marketing_digital_barrial_v0_6_publica,Marketing Digital Barrial,v0.6 publica profesional,Curso bandera v1.0-beta,Emprendimiento,"Comercios barriales, feriantes, emprendedores y oficios.",../../cursos/marketing_digital_barrial_v0_6_publica/index.html,true,true
monotributo_organizacion_administrativa_v0_6_publica,Monotributo y Organizacion Administrativa Basica,v0.6 publica profesional,Curso bandera v1.0-beta,Administracion,Emprendedores y trabajadores independientes.,../../cursos/monotributo_organizacion_administrativa_v0_6_publica/index.html,true,true
accesibilidad_web_principiantes_v0_6_publica,Accesibilidad Web para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,"Principiantes de desarrollo web, docentes y creadores de sitios.",../../cursos/accesibilidad_web_principiantes_v0_6_publica/index.html,true,true
ux_ui_basico_sitios_apps_v0_6_publica,UX/UI Basico para Sitios y Apps,v0.6 publica profesional,Curso bandera v1.0-beta,Desarrollo web,"Principiantes de diseno, desarrollo web y productos digitales.",../../cursos/ux_ui_basico_sitios_apps_v0_6_publica/index.html,true,true
whatsapp_business_avanzado_v0_6_publica,WhatsApp Business Avanzado,v0.6 publica profesional,Curso bandera v1.0-beta,Emprendimiento,Comercios y emprendedores que venden por WhatsApp.,../../cursos/whatsapp_business_avanzado_v0_6_publica/index.html,true,true
tienda_online_principiantes_v0_6_publica,Tienda Online para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Emprendimiento,Emprendedores y pequenos negocios.,../../cursos/tienda_online_principiantes_v0_6_publica/index.html,true,true
costos_precios_rentabilidad_v0_6_publica,"Costos, Precios y Rentabilidad",v0.6 publica profesional,Curso bandera v1.0-beta,Finanzas,"Comercios, productores y emprendedores.",../../cursos/costos_precios_rentabilidad_v0_6_publica/index.html,true,true
ciudadano_digital_argentina_v0_6_publica,Ciudadano Digital Argentina,v0.6 publica profesional,Curso bandera v1.0-beta,Ciudadania digital,Publico general.,../../cursos/ciudadano_digital_argentina_v0_6_publica/index.html,true,true
tramites_digitales_argentina_v0_6_publica,Tramites Digitales Argentina,v0.6 publica profesional,Curso bandera v1.0-beta,Tramites digitales,"Personas que hacen tramites online, familias y acompanantes digitales.",../../cursos/tramites_digitales_argentina_v0_6_publica/index.html,true,true
seguridad_familiar_internet_v0_6_publica,Seguridad Familiar en Internet,v0.6 publica profesional,Curso bandera v1.0-beta,Familia,"Familias con ninos, adolescentes y adultos acompanantes.",../../cursos/seguridad_familiar_internet_v0_6_publica/index.html,true,true
android_seguro_principiantes_v0_6_publica,Android Seguro para Principiantes,v0.6 publica profesional,Curso bandera v1.0-beta,Ciudadania digital,"Usuarios de Android, familias y principiantes digitales.",../../cursos/android_seguro_principiantes_v0_6_publica/index.html,true,true
seguridad_digital_docentes_v0_6_publica,Seguridad Digital para Docentes,v0.6 publica profesional,Curso bandera v1.0-beta,Escuela,"Docentes, preceptores y equipos directivos.",../../cursos/seguridad_digital_docentes_v0_6_publica/index.html,true,true
cuidado_digital_mayores_familias_v0_6_publica,Cuidado Digital para Adultos Mayores y Familias,v0.6 publica profesional,Curso bandera v1.0-beta,Ciudadania digital,Adultos mayores y familiares acompanantes.,../../cursos/cuidado_digital_mayores_familias_v0_6_publica/index.html,true,true
excel_google_sheets_desde_cero_v0_6_publica,Excel y Google Sheets desde Cero,v0.6 publica profesional,Curso bandera v1.0-beta,Productividad,"Principiantes, trabajadores, estudiantes y emprendedores.",../../cursos/excel_google_sheets_desde_cero_v0_6_publica/index.html,true,true
notion_trello_organizacion_v0_6_publica,"Notion, Trello y Organizacion Personal",v0.6 publica profesional,Curso bandera v1.0-beta,Productividad,"Estudiantes, freelancers y equipos chicos.",../../cursos/notion_trello_organizacion_v0_6_publica/index.html,true,true
automatizacion_ia_tareas_v0_6_publica,Automatizacion con IA para Tareas Repetitivas,v0.6 publica profesional,Curso bandera v1.0-beta,Trabajo e IA,"Trabajadores, emprendedores y equipos operativos.",../../cursos/automatizacion_ia_tareas_v0_6_publica/index.html,true,true
excel_analisis_datos_v0_6_publica,Excel para Analisis de Datos,v0.6 publica profesional,Curso bandera v1.0-beta,Datos,Personas que ya usan planillas y quieren analizar datos mejor.,../../cursos/excel_analisis_datos_v0_6_publica/index.html,true,true
cv_linkedin_busqueda_laboral_v0_6_publica,"CV, LinkedIn y Busqueda Laboral Digital",v0.6 publica profesional,Curso bandera v1.0-beta,Trabajo,"Personas buscando empleo, estudiantes y trabajadores en reconversion.",../../cursos/cv_linkedin_busqueda_laboral_v0_6_publica/index.html,true,true
teletrabajo_seguro_productivo_v0_6_publica,Teletrabajo Seguro y Productivo,v0.6 publica profesional,Curso bandera v1.0-beta,Trabajo,Trabajadores remotos y equipos pequenos.,../../cursos/teletrabajo_seguro_productivo_v0_6_publica/index.html,true,true
atencion_cliente_whatsapp_redes_v0_6_publica,Atencion al Cliente por WhatsApp y Redes,v0.6 publica profesional,Curso bandera v1.0-beta,Atencion al cliente,"Comercios, emprendedores y community managers iniciales.",../../cursos/atencion_cliente_whatsapp_redes_v0_6_publica/index.html,true,true
